bytes,percentile
0.0000,0.000
1072.0000,0.000
1080.0000,0.010
1080.0000,0.020
1080.0000,0.030
1080.0000,0.040
1080.0000,0.050
1080.0000,0.060
1080.0000,0.070
1080.0000,0.080
1080.0000,0.090
1080.0000,0.100
1088.0000,0.110
1088.0000,0.120
1088.0000,0.130
1088.0000,0.140
1088.0000,0.150
1088.0000,0.160
1088.0000,0.170
1088.0000,0.180
1088.0000,0.190
1088.0000,0.200
1088.0000,0.210
1088.0000,0.220
1088.0000,0.230
1088.0000,0.240
1088.0000,0.250
1088.0000,0.260
1088.0000,0.270
1088.0000,0.280
1088.0000,0.290
1088.0000,0.300
1088.0000,0.310
1088.0000,0.320
1096.0000,0.330
1096.0000,0.340
1096.0000,0.350
1096.0000,0.360
1096.0000,0.370
1096.0000,0.380
1096.0000,0.390
1096.0000,0.400
1096.0000,0.410
1096.0000,0.420
1096.0000,0.430
1104.0000,0.440
1104.0000,0.450
1104.0000,0.460
1112.0000,0.470
1112.0000,0.480
1112.0000,0.490
1112.0000,0.500
1112.0000,0.510
1112.0000,0.520
1112.0000,0.530
1120.0000,0.540
1120.0000,0.550
1120.0000,0.560
1224.0000,0.570
1224.0000,0.580
1232.0000,0.590
1232.0000,0.600
1232.0000,0.610
1240.0000,0.620
1240.0000,0.630
1240.0000,0.640
1240.0000,0.650
1248.0000,0.660
1248.0000,0.670
1248.0000,0.680
1248.0000,0.690
1248.0000,0.700
1256.0000,0.710
1256.0000,0.720
1256.0000,0.730
1256.0000,0.740
1256.0000,0.750
1264.0000,0.760
1264.0000,0.770
1272.0000,0.780
1272.0000,0.790
1280.0000,0.800
1296.0000,0.810
1336.0000,0.820
1376.0000,0.830
1416.0000,0.840
1544.0000,0.850
1552.0000,0.860
1560.0000,0.870
1560.0000,0.880
1560.0000,0.890
1576.0000,0.900
1584.0000,0.910
1760.0000,0.920
1776.0000,0.930
1784.0000,0.940
1800.0000,0.950
1808.0000,0.960
1816.0000,0.970
1832.0000,0.980
1904.0000,0.990
2072.0000,0.999
2096.0000,0.9999
5520.0000,1.000
